src_id,direction,geom_points,os_speed
osgb4000000020934543,-1,"((-3.42827292793026, 50.805505548401662), (-3.4279641042380598, 50.805715559889663))",37.5
osgb4000000020961643,-1,"((-3.422130882759133, 50.810704272549003), (-3.4225451008058432, 50.810369175016298))",37.5
osgb4000000020961643,1,"((-3.4219736460934751, 50.810509910435997), (-3.4223878641401853, 50.810174812903291))",37.5
osgb5000005120269532,1,"((-3.4201588845576434, 50.81198342873877), (-3.4206420544026832, 50.811590283932468))",37.5
osgb5000005120269532,-1,"((-3.4203166703042043, 50.812177345365654), (-3.4207998401492441, 50.811784200559352))",37.5
osgb5000005120269532,1,"((-3.4201588845576434, 50.81198342873877), (-3.4206420544026832, 50.811590283932468))",37.5
osgb5000005120269532,-1,"((-3.4203166703042043, 50.812177345365654), (-3.4207998401492441, 50.811784200559352))",37.5
osgb4000000020920849,-1,"((-3.4265468930280152, 50.806835245894952), (-3.426193516907325, 50.807115655918849))",37.5
osgb4000000020920849,1,"((-3.4267022914387026, 50.807031080861073), (-3.4263489153180124, 50.80731149088497))",37.5
osgb4000000020947833,-1,"((-3.4225448745394917, 50.810369357519654), (-3.4229979401637118, 50.810005006643458))",37.5
osgb4000000020947833,1,"((-3.4223882035397124, 50.810174539148271), (-3.4228412691639325, 50.809810188272074))",37.5
osgb4000000021053845,1,"((-3.4420169878031235, 50.792198750525387), (-3.4419458628126636, 50.792469423772786))",37.5
osgb4000000021053845,-1,"((-3.4417751961415508, 50.792135214768571), (-3.4417040711510909, 50.792405888015971))",37.5
osgb4000000021623385,-1,"((-3.0887172741026578, 50.887209154529316), (-3.0886920964297682, 50.887057331123813))",37.5
osgb4000000021623385,1,"((-3.0884706424505883, 50.887250054751782), (-3.0884454647776987, 50.887098231346279))",37.5
osgb4000000021660228,1,"((-3.0862951390562019, 50.883547303891326), (-3.0861426090276618, 50.883143546666325))",37.5
osgb4000000021660228,-1,"((-3.0865290071712823, 50.883458953991784), (-3.0863764771427422, 50.883055196766783))",37.5
osgb4000000021702090,1,"((-3.0883808060127871, 50.887659239994363), (-3.088396399079707, 50.887593861205964))",37.5
osgb4000000021702090,-1,"((-3.0886239851806421, 50.887717239066092), (-3.088639578247562, 50.887651860277693))",37.5
osgb4000000021612818,-1,"((-3.0808983442608886, 50.896924759895143), (-3.0809390069263283, 50.896805985137249))",37.5
osgb4000000021612818,1,"((-3.0806618210761174, 50.896843785929782), (-3.0807024837415571, 50.896725011171888))",37.5
osgb4000000021615885,1,"((-3.080984037094558, 50.903918940815835), (-3.0809482246822579, 50.903846431570038))",37.5
osgb4000000021615885,-1,"((-3.0812081880277615, 50.903808232373777), (-3.0811723756154614, 50.90373572312798))",37.5
osgb4000000021615887,1,"((-3.0841577163516929, 50.90941674488878), (-3.0841163456360929, 50.909361904993474))",37.5
